drug_name,active_ingredient,category,is_pediatric,is_chronic,form
"METSİL DAMLA 66,6 MG / ML",SİMETİKON,Mide,False,False,Şurup/Süspansiyon/Damla
OSEFLU 45 MG KAPSÜL,OSELTAMİVİR FOSFAT,Antiviral,False,False,Kapsül
FOSFONE 3 G ORAL ÇÖZELTİ İÇİN GRANÜL İÇEREN SAŞE,FOSFOMİSİN,Antibiyotik,False,False,Enjeksiyon/Flakon
SANELOC 200 MG DEĞIŞTIRILMIŞ SALIMLI TABLET,METOPROLOL SÜKSİNAT,Kalp/Tansiyon,False,True,Tablet
TAMGARD 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
TAMGARD 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
IMPRIDA 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
IMPRIDA 10 MG/160 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
EXFORGE 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
NOVAREX 400MG/200ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
NOVAREX 200MG/100ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
GLİFOR 850 MG FİLM TABLET,METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AMLOHEX 10 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
AMLOHEX  5 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
FORMODAY 12 MCH INHALASYON IÇIN TOZ IÇEREN KAPSÜL,FORMOTEROL FURAMAT DIHIDRAT,Solunum,False,True,Kapsül
VALTENSIN PLUS 160/25 MG FILM KAPLI TABET,VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Diğer
"VALTENSIN PLUS 160/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
"VALTENSIN PLUS 80/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
"METSİL DAMLA 66,6 MG / ML",SİMETİKON,Mide,False,False,Şurup/Süspansiyon/Damla
OSEFLU 45 MG KAPSÜL,OSELTAMİVİR FOSFAT,Antiviral,False,False,Kapsül
FOSFONE 3 G ORAL ÇÖZELTİ İÇİN GRANÜL İÇEREN SAŞE,FOSFOMİSİN,Antibiyotik,False,False,Enjeksiyon/Flakon
SANELOC 200 MG DEĞIŞTIRILMIŞ SALIMLI TABLET,METOPROLOL SÜKSİNAT,Kalp/Tansiyon,False,True,Tablet
TAMGARD 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
TAMGARD 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
IMPRIDA 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
IMPRIDA 10 MG/160 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
EXFORGE 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
NOVAREX 400MG/200ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
NOVAREX 200MG/100ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
GLİFOR 850 MG FİLM TABLET,METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AMLOHEX 10 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
AMLOHEX  5 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
FORMODAY 12 MCH INHALASYON IÇIN TOZ IÇEREN KAPSÜL,FORMOTEROL FURAMAT DIHIDRAT,Solunum,False,True,Kapsül
VALTENSIN PLUS 160/25 MG FILM KAPLI TABET,VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Diğer
"VALTENSIN PLUS 160/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
"VALTENSIN PLUS 80/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
"METSİL DAMLA 66,6 MG / ML",SİMETİKON,Mide,False,False,Şurup/Süspansiyon/Damla
OSEFLU 45 MG KAPSÜL,OSELTAMİVİR FOSFAT,Antiviral,False,False,Kapsül
FOSFONE 3 G ORAL ÇÖZELTİ İÇİN GRANÜL İÇEREN SAŞE,FOSFOMİSİN,Antibiyotik,False,False,Enjeksiyon/Flakon
SANELOC 200 MG DEĞIŞTIRILMIŞ SALIMLI TABLET,METOPROLOL SÜKSİNAT,Kalp/Tansiyon,False,True,Tablet
TAMGARD 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
TAMGARD 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
IMPRIDA 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
IMPRIDA 10 MG/160 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
EXFORGE 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
NOVAREX 400MG/200ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
NOVAREX 200MG/100ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
GLİFOR 850 MG FİLM TABLET,METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AMLOHEX 10 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
AMLOHEX  5 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
FORMODAY 12 MCH INHALASYON IÇIN TOZ IÇEREN KAPSÜL,FORMOTEROL FURAMAT DIHIDRAT,Solunum,False,True,Kapsül
VALTENSIN PLUS 160/25 MG FILM KAPLI TABET,VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Diğer
"VALTENSIN PLUS 160/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
"VALTENSIN PLUS 80/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
"METSİL DAMLA 66,6 MG / ML",SİMETİKON,Mide,False,False,Şurup/Süspansiyon/Damla
OSEFLU 45 MG KAPSÜL,OSELTAMİVİR FOSFAT,Antiviral,False,False,Kapsül
FOSFONE 3 G ORAL ÇÖZELTİ İÇİN GRANÜL İÇEREN SAŞE,FOSFOMİSİN,Antibiyotik,False,False,Enjeksiyon/Flakon
SANELOC 200 MG DEĞIŞTIRILMIŞ SALIMLI TABLET,METOPROLOL SÜKSİNAT,Kalp/Tansiyon,False,True,Tablet
TAMGARD 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
TAMGARD 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
IMPRIDA 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
IMPRIDA 10 MG/160 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
EXFORGE 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
NOVAREX 400MG/200ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
NOVAREX 200MG/100ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
GLİFOR 850 MG FİLM TABLET,METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AMLOHEX 10 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
AMLOHEX  5 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
FORMODAY 12 MCH INHALASYON IÇIN TOZ IÇEREN KAPSÜL,FORMOTEROL FURAMAT DIHIDRAT,Solunum,False,True,Kapsül
VALTENSIN PLUS 160/25 MG FILM KAPLI TABET,VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Diğer
"VALTENSIN PLUS 160/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
"VALTENSIN PLUS 80/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
"METSİL DAMLA 66,6 MG / ML",SİMETİKON,Mide,False,False,Şurup/Süspansiyon/Damla
OSEFLU 45 MG KAPSÜL,OSELTAMİVİR FOSFAT,Antiviral,False,False,Kapsül
FOSFONE 3 G ORAL ÇÖZELTİ İÇİN GRANÜL İÇEREN SAŞE,FOSFOMİSİN,Antibiyotik,False,False,Enjeksiyon/Flakon
SANELOC 200 MG DEĞIŞTIRILMIŞ SALIMLI TABLET,METOPROLOL SÜKSİNAT,Kalp/Tansiyon,False,True,Tablet
TAMGARD 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
TAMGARD 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
IMPRIDA 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
IMPRIDA 10 MG/160 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
EXFORGE 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
NOVAREX 400MG/200ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
NOVAREX 200MG/100ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
GLİFOR 850 MG FİLM TABLET,METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AMLOHEX 10 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
AMLOHEX  5 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
FORMODAY 12 MCH INHALASYON IÇIN TOZ IÇEREN KAPSÜL,FORMOTEROL FURAMAT DIHIDRAT,Solunum,False,True,Kapsül
VALTENSIN PLUS 160/25 MG FILM KAPLI TABET,VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Diğer
"VALTENSIN PLUS 160/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
"VALTENSIN PLUS 80/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
"METSİL DAMLA 66,6 MG / ML",SİMETİKON,Mide,False,False,Şurup/Süspansiyon/Damla
OSEFLU 45 MG KAPSÜL,OSELTAMİVİR FOSFAT,Antiviral,False,False,Kapsül
FOSFONE 3 G ORAL ÇÖZELTİ İÇİN GRANÜL İÇEREN SAŞE,FOSFOMİSİN,Antibiyotik,False,False,Enjeksiyon/Flakon
SANELOC 200 MG DEĞIŞTIRILMIŞ SALIMLI TABLET,METOPROLOL SÜKSİNAT,Kalp/Tansiyon,False,True,Tablet
TAMGARD 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
TAMGARD 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
IMPRIDA 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
IMPRIDA 10 MG/160 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
EXFORGE 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
NOVAREX 400MG/200ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
NOVAREX 200MG/100ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
GLİFOR 850 MG FİLM TABLET,METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AMLOHEX 10 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
AMLOHEX  5 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
FORMODAY 12 MCH INHALASYON IÇIN TOZ IÇEREN KAPSÜL,FORMOTEROL FURAMAT DIHIDRAT,Solunum,False,True,Kapsül
VALTENSIN PLUS 160/25 MG FILM KAPLI TABET,VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Diğer
"VALTENSIN PLUS 160/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
"VALTENSIN PLUS 80/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
"METSİL DAMLA 66,6 MG / ML",SİMETİKON,Mide,False,False,Şurup/Süspansiyon/Damla
OSEFLU 45 MG KAPSÜL,OSELTAMİVİR FOSFAT,Antiviral,False,False,Kapsül
FOSFONE 3 G ORAL ÇÖZELTİ İÇİN GRANÜL İÇEREN SAŞE,FOSFOMİSİN,Antibiyotik,False,False,Enjeksiyon/Flakon
SANELOC 200 MG DEĞIŞTIRILMIŞ SALIMLI TABLET,METOPROLOL SÜKSİNAT,Kalp/Tansiyon,False,True,Tablet
TAMGARD 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
TAMGARD 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
IMPRIDA 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
IMPRIDA 10 MG/160 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
EXFORGE 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
NOVAREX 400MG/200ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
NOVAREX 200MG/100ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
GLİFOR 850 MG FİLM TABLET,METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AMLOHEX 10 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
AMLOHEX  5 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
FORMODAY 12 MCH INHALASYON IÇIN TOZ IÇEREN KAPSÜL,FORMOTEROL FURAMAT DIHIDRAT,Solunum,False,True,Kapsül
VALTENSIN PLUS 160/25 MG FILM KAPLI TABET,VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Diğer
"VALTENSIN PLUS 160/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
"VALTENSIN PLUS 80/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
"METSİL DAMLA 66,6 MG / ML",SİMETİKON,Mide,False,False,Şurup/Süspansiyon/Damla
OSEFLU 45 MG KAPSÜL,OSELTAMİVİR FOSFAT,Antiviral,False,False,Kapsül
FOSFONE 3 G ORAL ÇÖZELTİ İÇİN GRANÜL İÇEREN SAŞE,FOSFOMİSİN,Antibiyotik,False,False,Enjeksiyon/Flakon
SANELOC 200 MG DEĞIŞTIRILMIŞ SALIMLI TABLET,METOPROLOL SÜKSİNAT,Kalp/Tansiyon,False,True,Tablet
TAMGARD 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
TAMGARD 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
IMPRIDA 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
IMPRIDA 10 MG/160 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
EXFORGE 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
NOVAREX 400MG/200ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
NOVAREX 200MG/100ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
GLİFOR 850 MG FİLM TABLET,METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AMLOHEX 10 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
AMLOHEX  5 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
FORMODAY 12 MCH INHALASYON IÇIN TOZ IÇEREN KAPSÜL,FORMOTEROL FURAMAT DIHIDRAT,Solunum,False,True,Kapsül
VALTENSIN PLUS 160/25 MG FILM KAPLI TABET,VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Diğer
"VALTENSIN PLUS 160/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
"VALTENSIN PLUS 80/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
"METSİL DAMLA 66,6 MG / ML",SİMETİKON,Mide,False,False,Şurup/Süspansiyon/Damla
OSEFLU 45 MG KAPSÜL,OSELTAMİVİR FOSFAT,Antiviral,False,False,Kapsül
FOSFONE 3 G ORAL ÇÖZELTİ İÇİN GRANÜL İÇEREN SAŞE,FOSFOMİSİN,Antibiyotik,False,False,Enjeksiyon/Flakon
SANELOC 200 MG DEĞIŞTIRILMIŞ SALIMLI TABLET,METOPROLOL SÜKSİNAT,Kalp/Tansiyon,False,True,Tablet
TAMGARD 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
TAMGARD 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
IMPRIDA 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
IMPRIDA 10 MG/160 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
EXFORGE 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
NOVAREX 400MG/200ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
NOVAREX 200MG/100ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
GLİFOR 850 MG FİLM TABLET,METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AMLOHEX 10 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
AMLOHEX  5 MG TABLET,AMLODİPİN MALEAT,Kalp/Tansiyon,False,True,Tablet
FORMODAY 12 MCH INHALASYON IÇIN TOZ IÇEREN KAPSÜL,FORMOTEROL FURAMAT DIHIDRAT,Solunum,False,True,Kapsül
VALTENSIN PLUS 160/25 MG FILM KAPLI TABET,VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Diğer
"VALTENSIN PLUS 160/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
"VALTENSIN PLUS 80/12,5 MG FILM KAPLI TABLET",VALSARTAN + HIDROKLOROTIYAZID,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
VALTENSIN 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
"METSİL DAMLA 66,6 MG / ML",SİMETİKON,Mide,False,False,Şurup/Süspansiyon/Damla
OSEFLU 45 MG KAPSÜL,OSELTAMİVİR FOSFAT,Antiviral,False,False,Kapsül
FOSFONE 3 G ORAL ÇÖZELTİ İÇİN GRANÜL İÇEREN SAŞE,FOSFOMİSİN,Antibiyotik,False,False,Enjeksiyon/Flakon
SANELOC 200 MG DEĞIŞTIRILMIŞ SALIMLI TABLET,METOPROLOL SÜKSİNAT,Kalp/Tansiyon,False,True,Tablet
TAMGARD 80 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
TAMGARD 160 MG FILM KAPLI TABLET,VALSARTAN,Kalp/Tansiyon,False,True,Tablet
IMPRIDA 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
IMPRIDA 10 MG/160 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
EXFORGE 5 MG/80 MG FILM KAPLI TABLET,"AMLODIPIN BESILAT, VALSARTAN",Kalp/Tansiyon,False,True,Tablet
NOVAREX 400MG/200ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
NOVAREX 200MG/100ML İ.V. İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,SİPROFLOKSASİN,Antibiyotik,False,False,Enjeksiyon/Flakon
GLİFOR 850 MG FİLM TABLET,METFORMİN HİDROKLORÜR,Diyabet,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
AVİTOREL 40 MG FİLM TABLET,ATORVASTATİN,Kolesterol,False,True,Tablet
